Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort
AUT,Austria,2814,8,19,27,3.7,2.6,0.12,0.06,0.03,10512,5256,2628,26.8,53.5,107.1
ARG,Argentina,158,4,22,11,3.2,6.5,0.00,0.00,0.00,1682,841,420,9.4,18.8,37.6
BRA,Brazil,1021,15,33,67,2.1,1.0,0.16,0.08,0.04,330095,165047,82523,0.3,0.6,1.2
BGR,Bulgaria,163,3,32,12,2.2,5.8,0.02,0.01,0.00,1388,694,347,11.7,23.5,47.0
BEL,Belgium,2815,67,21,48,3.4,1.5,3.30,1.65,0.83,379368,189684,94842,0.7,1.5,3.0
CAN,Canada,424,10,17,30,4.1,2.3,0.04,0.02,0.01,15905,7952,3976,2.7,5.3,10.7
COL,Colombia,196,0,38,0,1.8,0.0,0.00,0.00,0.00,0,0,0,1960000000000000117440512.0,1960000000000000117440512.0,1960000000000000117440512.0
DNK,Denmark,1326,13,8,33,8.9,2.1,0.45,0.22,0.11,25834,12917,6458,5.1,10.3,20.5
FRA,France,14282,562,16,27,4.4,2.6,1.16,0.58,0.29,752987,376493,188246,1.9,3.8,7.6
FIN,Finland,523,1,26,-0,2.7,-inf,0.00,0.00,0.00,0,0,0,5230000000000000390070272.0,5230000000000000390070272.0,5230000000000000390070272.0
DEU,Germany,22213,84,26,33,2.7,2.1,0.21,0.10,0.05,172318,86159,43079,12.9,25.8,51.6
GRC,Greece,530,13,23,24,3.0,2.9,0.13,0.07,0.03,14139,7069,3534,3.7,7.5,15.0
HUN,Hungary,103,4,18,23,3.8,3.1,0.04,0.02,0.01,3919,1959,979,2.6,5.3,10.5
IND,India,330,4,19,15,3.6,4.6,0.00,0.00,0.00,2310,1155,577,14.3,28.6,57.1
IDN,Indonesia,450,38,24,37,2.9,1.9,0.04,0.02,0.01,98249,49124,24562,0.5,0.9,1.8
IRL,Ireland,785,3,32,12,2.2,5.8,0.03,0.01,0.01,1388,694,347,56.5,113.1,226.2
ITA,Italy,53578,4825,13,16,5.2,4.3,4.93,2.47,1.23,2990167,1495083,747541,1.8,3.6,7.2
ISR,Israel,883,1,24,-0,2.8,-inf,0.00,0.00,0.00,0,0,0,8829999999999999685427200.0,8829999999999999685427200.0,8829999999999999685427200.0
JPN,Japan,1007,35,7,11,9.8,6.4,0.01,0.01,0.00,14937,7468,3734,6.7,13.5,27.0
MEX,Mexico,203,2,24,35,2.9,2.0,0.00,0.00,0.00,4525,2262,1131,4.5,9.0,17.9
MDA,Moldova,80,1,37,0,1.9,inf,0.00,0.00,0.00,200,100,50,40.0,80.0,160.0
NLD,Netherlands,3631,136,19,29,3.7,2.4,1.22,0.61,0.30,207961,103980,51990,1.7,3.5,7.0
NGA,Nigeria,22,0,13,0,5.4,0.0,0.00,0.00,0.00,0,0,0,220000000000000008388608.0,220000000000000008388608.0,220000000000000008388608.0
NOR,Norway,2118,7,10,16,7.3,4.3,0.08,0.04,0.02,4277,2138,1069,49.5,99.0,198.1
PAK,Pakistan,730,3,28,20,2.5,3.4,0.00,0.00,0.00,2480,1240,620,29.4,58.9,117.7
PRT,Portugal,1280,12,33,61,2.1,1.1,1.64,0.82,0.41,167899,83949,41974,0.8,1.5,3.0
POL,Poland,536,5,36,15,1.9,4.5,0.01,0.00,0.00,2913,1456,728,18.4,36.8,73.6
ROU,Romania,367,0,27,0,2.5,0.0,0.00,0.00,0.00,0,0,0,3669999999999999836422144.0,3669999999999999836422144.0,3669999999999999836422144.0
RUS,Russia,306,1,25,0,2.8,inf,0.00,0.00,0.00,200,100,50,153.0,306.0,612.0
ESP,Spain,25374,1375,19,24,3.6,2.9,3.18,1.59,0.80,1486605,743302,371651,1.7,3.4,6.8
SWE,Sweden,1763,20,10,34,6.7,2.0,0.43,0.22,0.11,43024,21512,10756,4.1,8.2,16.4
CHE,Switzerland,6575,75,23,29,3.0,2.4,1.30,0.65,0.33,110996,55498,27749,5.9,11.8,23.7
TUR,Turkey,670,9,66,58,1.0,1.2,0.12,0.06,0.03,102956,51478,25739,0.7,1.3,2.6
GBR,UK,25150,1789,14,20,5.1,3.4,2.22,1.11,0.55,1490240,745120,372560,1.7,3.4,6.8
UKR,Ukraine,47,3,22,16,3.2,4.3,0.00,0.00,0.00,1875,937,468,2.5,5.0,10.0
USA,US,25493,307,29,22,2.4,3.2,0.09,0.04,0.02,278181,139090,69545,9.2,18.3,36.7
