Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort
AUT,Austria,13555,319,2,9,28.7,7.8,1.34,0.67,0.33,119081,59540,29770,11.4,22.8,45.5
ARG,Argentina,1975,82,7,13,10.6,5.2,0.09,0.05,0.02,41385,20692,10346,4.8,9.5,19.1
BRA,Brazil,19638,1057,12,16,6.0,4.3,0.31,0.15,0.08,649122,324561,162280,3.0,6.1,12.1
BGR,Bulgaria,635,25,4,11,19.3,6.3,0.15,0.08,0.04,10763,5381,2690,5.9,11.8,23.6
BEL,Belgium,26667,3019,6,14,11.3,5.0,13.90,6.95,3.48,1596076,798038,399019,1.7,3.3,6.7
CAN,Canada,1451,32,7,13,10.3,5.3,0.04,0.02,0.01,15934,7967,3983,9.1,18.2,36.4
COL,Colombia,2473,80,11,17,6.2,4.0,0.11,0.05,0.03,53447,26723,13361,4.6,9.3,18.5
DNK,Denmark,6014,247,7,7,10.1,9.7,1.41,0.71,0.35,81283,40641,20320,7.4,14.8,29.6
FRA,France,125931,13215,9,10,7.5,7.3,7.92,3.96,1.98,5147161,2573580,1286790,2.4,4.9,9.8
FIN,Finland,2769,48,6,12,11.5,5.9,0.39,0.20,0.10,21720,10860,5430,12.7,25.5,51.0
DEU,Germany,122171,2767,4,12,16.2,5.7,1.56,0.78,0.39,1298066,649033,324516,9.4,18.8,37.6
GRC,Greece,2011,92,3,7,20.5,10.5,0.28,0.14,0.07,29266,14633,7316,6.9,13.7,27.5
HUN,Hungary,1190,77,8,15,8.6,4.5,0.47,0.23,0.12,45285,22642,11321,2.6,5.3,10.5
IND,India,7598,246,12,17,6.0,4.2,0.01,0.01,0.00,158149,79074,39537,4.8,9.6,19.2
IDN,Indonesia,3512,306,8,7,8.3,10.0,0.04,0.02,0.01,99270,49635,24817,3.5,7.1,14.2
IRL,Ireland,8089,287,8,14,8.2,5.1,3.11,1.55,0.78,149730,74865,37432,5.4,10.8,21.6
ITA,Italy,147577,18849,3,3,25.4,21.1,9.85,4.92,2.46,5971126,2985563,1492781,2.5,4.9,9.9
ISR,Israel,10408,95,6,13,12.5,5.3,0.56,0.28,0.14,47255,23627,11813,22.0,44.0,88.1
JPN,Japan,5530,99,10,6,7.1,10.9,0.02,0.01,0.01,30861,15430,7715,17.9,35.8,71.7
MEX,Mexico,3441,194,12,22,5.9,3.2,0.14,0.07,0.03,174957,87478,43739,2.0,3.9,7.9
MDA,Moldova,1438,29,10,21,7.0,3.3,0.63,0.32,0.16,25587,12793,6396,5.6,11.2,22.5
NLD,Netherlands,23249,2520,6,8,12.2,8.3,5.31,2.65,1.33,905180,452590,226295,2.6,5.1,10.3
NGA,Nigeria,305,7,6,14,11.1,4.9,0.00,0.00,0.00,3760,1880,940,8.1,16.2,32.4
NOR,Norway,6314,113,3,11,24.9,6.5,0.90,0.45,0.22,47928,23964,11982,13.2,26.3,52.7
PAK,Pakistan,4695,66,5,10,12.7,7.2,0.01,0.01,0.00,25802,12901,6450,18.2,36.4,72.8
PRT,Portugal,15472,435,6,8,10.7,8.2,1.53,0.76,0.38,156773,78386,39193,9.9,19.7,39.5
POL,Poland,5955,181,7,16,9.4,4.3,0.29,0.15,0.07,110851,55425,27712,5.4,10.7,21.5
ROU,Romania,5467,270,8,11,9.1,6.4,0.59,0.30,0.15,115498,57749,28874,4.7,9.5,18.9
RUS,Russia,11917,94,16,17,4.4,4.2,0.04,0.02,0.01,59947,29973,14986,19.9,39.8,79.5
ESP,Spain,158273,16081,4,5,18.7,14.8,13.28,6.64,3.32,6199311,3099655,1549827,2.6,5.1,10.2
SWE,Sweden,9685,870,8,14,9.1,5.0,4.64,2.32,1.16,462860,231430,115715,2.1,4.2,8.4
CHE,Switzerland,24551,1002,3,7,19.9,10.1,3.79,1.90,0.95,323379,161689,80844,7.6,15.2,30.4
TUR,Turkey,47029,1006,11,11,6.3,6.3,0.52,0.26,0.13,435056,217528,108764,10.8,21.6,43.2
GBR,UK,74895,9875,8,12,9.2,5.9,6.71,3.35,1.68,4501944,2250972,1125486,1.7,3.3,6.7
UKR,Ukraine,2203,69,13,13,5.4,5.2,0.08,0.04,0.02,35295,17647,8823,6.2,12.5,25.0
USA,US,496535,18586,8,13,9.1,5.1,2.92,1.46,0.73,9547400,4773700,2386850,5.2,10.4,20.8
