Country,country-name,cases,deaths,case rate,death rate,doubling cases (days),doubling deaths (days),pct pop 0.5% mort,prct pop 1% mort,prct pop 2% mort,0.5% mort sim cases,1% mort sim cases,2% mort sim cases,prct rep cases 0.5% mort,prct rep cases 1% mort,prct rep cases 2% mort,pct pop 0.5% mort (10d),prct pop 1% mort (10d),prct pop 2% (10d),pct pop 0.5% mort (20d),prct pop 1% mort (20d),prct pop 2% (20d) 
AUT,Austria,14476,410,1,4,72.6,18.1,1.57,0.79,0.39,140016,70008,35004,10.3,20.7,41.4,1.35,0.68,0.34,1.98,0.99,0.50
ARG,Argentina,2571,115,6,6,12.4,11.1,0.08,0.04,0.02,35624,17812,8906,7.2,14.4,28.9,0.07,0.04,0.02,0.10,0.05,0.02
BRA,Brazil,30425,1924,8,12,8.4,5.9,0.42,0.21,0.10,875328,437664,218832,3.5,7.0,13.9,0.33,0.17,0.08,0.59,0.30,0.15
BGR,Bulgaria,800,38,4,8,18.2,8.3,0.19,0.10,0.05,13596,6798,3399,5.9,11.8,23.5,0.16,0.08,0.04,0.25,0.12,0.06
BEL,Belgium,34809,4857,6,7,11.7,9.5,14.08,7.04,3.52,1616884,808442,404221,2.2,4.3,8.6,12.17,6.09,3.04,17.52,8.76,4.38
CAN,Canada,1996,48,6,11,12.4,6.4,0.06,0.03,0.01,20457,10228,5114,9.8,19.5,39.0,0.04,0.02,0.01,0.08,0.04,0.02
COL,Colombia,3233,144,4,15,17.8,4.7,0.16,0.08,0.04,80450,40225,20112,4.0,8.0,16.1,0.12,0.06,0.03,0.25,0.13,0.06
DNK,Denmark,7074,321,3,4,26.2,17.1,1.97,0.98,0.49,113149,56574,28287,6.3,12.5,25.0,1.67,0.84,0.42,2.51,1.25,0.63
FRA,France,147091,17941,6,6,11.7,12.1,8.26,4.13,2.06,5366927,2683463,1341731,2.7,5.5,11.0,7.36,3.68,1.84,9.81,4.91,2.45
FIN,Finland,3369,75,3,10,22.8,6.8,0.55,0.28,0.14,30525,15262,7631,11.0,22.1,44.1,0.45,0.23,0.11,0.75,0.37,0.19
DEU,Germany,137698,4052,4,9,19.3,7.4,1.87,0.94,0.47,1558284,779142,389571,8.8,17.7,35.3,1.56,0.78,0.39,2.48,1.24,0.62
GRC,Greece,2207,105,1,5,64.3,15.0,0.38,0.19,0.10,40182,20091,10045,5.5,11.0,22.0,0.32,0.16,0.08,0.50,0.25,0.13
GTM,Guatemala,196,5,11,11,6.3,6.1,0.01,0.01,0.00,2219,1109,554,8.8,17.7,35.3,0.01,0.01,0.00,0.02,0.01,0.00
HUN,Hungary,1652,142,4,14,17.5,5.0,0.78,0.39,0.19,75241,37620,18810,2.2,4.4,8.8,0.59,0.29,0.15,1.18,0.59,0.29
IND,India,13430,448,9,7,7.5,9.5,0.01,0.01,0.00,149223,74611,37305,9.0,18.0,36.0,0.01,0.00,0.00,0.01,0.01,0.00
IDN,Indonesia,5516,496,6,8,10.7,8.6,0.07,0.03,0.02,174950,87475,43737,3.2,6.3,12.6,0.06,0.03,0.01,0.08,0.04,0.02
